2025-02-17 02:30:32,595 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/1.12.2-master/update.json
2025-02-17 02:30:33,214 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/update.json
2025-02-17 02:30:33,363 [Server thread] WARN GottschCore | VersionChecker.java:55 | Bad URL: 
2025-02-17 02:30:33,363 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2_wizardry_lp] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure-Wizardry-Loot-Pack/1.12.2-master/update.json
2025-02-17 02:30:36,727 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 02:30:36,734 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> LootResources [supportingResources=[pools/armor/common, pools/armor/uncommon, pools/armor/scarce, pools/armor/rare, pools/armor/epic, pools/food/common, pools/food/uncommon, pools/food/scarce, pools/food/rare, pools/food/epic, pools/items/common, pools/items/uncommon, pools/items/scarce, pools/items/rare, pools/items/epic, pools/potions/common, pools/potions/uncommon, pools/potions/scarce, pools/potions/rare, pools/potions/epic, pools/tools/common, pools/tools/uncommon, pools/tools/scarce, pools/tools/rare, pools/treasure/common, pools/treasure/uncommon, pools/treasure/scarce, pools/treasure/rare, pools/treasure/epic, pools/treasure/common_adornments, pools/treasure/common_all, pools/treasure/common_charms, pools/treasure/common_treasure, pools/treasure/uncommon_adornments, pools/treasure/uncommon_all, pools/treasure/uncommon_charms, pools/treasure/uncommon_treasure, pools/treasure/scarce_adornments, pools/treasure/scarce_all, pools/treasure/scarce_charms, pools/treasure/scarce_treasure, pools/treasure/rare_adornments, pools/treasure/rare_all, pools/treasure/rare_charms, pools/treasure/rare_treasure, pools/treasure/epic_adornments, pools/treasure/epic_all, pools/treasure/epic_charms, pools/treasure/epic_treasure, pools/treasure/legendary_adornments, pools/treasure/legendary_all, pools/treasure/legendary_charms, pools/treasure/legendary_treasure, pools/treasure/mythical_adornments, pools/treasure/mythical_all, pools/treasure/mythical_charms, pools/treasure/mythical_treasure], chestResources=[chests/common/general_chest, chests/uncommon/general_chest, chests/scarce/general_chest, chests/rare/general_chest, chests/epic/general_chest, chests/legendary/general_chest, chests/mythical/general_chest], specialResources=[chests/special/black_pearl_well, chests/special/cauldron_chest, chests/special/crystal_skull_chest, chests/special/gold_skull_chest, chests/special/skull_chest, chests/special/white_pearl_well, chests/special/wither_chest], specialLootTableFolderLocations=[chests/special], chestLootTableFolderLocations=[chests/common, chests/uncommon, chests/scarce, chests/rare, chests/epic], supportingLootTableFolderLocatoins=[pools/armor, pools/food, pools/items, pools/potions, pools/tools, pools/treasure]]
2025-02-17 02:30:36,734 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:135 | adding mod to loaded mods list
2025-02-17 02:30:36,750 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
2025-02-17 02:30:36,750 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:71 | resources -> LootResources [supportingResources=[], chestResources=[], specialResources=[], specialLootTableFolderLocations=[], chestLootTableFolderLocations=[], supportingLootTableFolderLocatoins=[]]
2025-02-17 02:30:36,750 [Server thread] WARN Treasure2 | TreasureLootTableRegistry.java:135 | adding mod to loaded mods list
2025-02-17 02:30:36,756 [Server thread] INFO Treasure2 | ITreasureResourceRegistry.java:50 | reading resources file from stream.
